id,height_cm,weight_kg,shirt_size
347,171.5,71.79,M
348,157.8,67.6,M
349,172.1,52.64,M
350,177.49,71.65,M
351,174.16,42.46,M
352,168.51,72.49,M
353,159.95,69.73,M
354,159.31,72.28,M
355,181.96,76.65,L
356,173.22,57.01,M
357,155.29,105.43,M
358,167.9,63.31,M
359,164.16,43.71,M
360,156.09,66.35,M
361,163.13,70.81,M
362,179.32,62.98,M
363,156.75,76.54,M
364,174.09,72.29,M
365,172.17,62.99,L
366,179.34,74.27,M
367,159.01,59.37,M
368,174.48,56.35,M
369,170.04,41.83,M
370,144.15,58.23,M
371,163.9,63.77,M
372,164.06,87.53,L
373,158.58,84.3,M
374,161.85,87.83,M
375,175.75,51.7,M
376,168.2,90.06,M
377,169.31,76.15,M
378,161.78,67.23,M
379,178.84,55.74,M
380,173.23,65.83,M
381,169.83,58.95,M
382,174.41,53.76,M
383,172.17,51.4,M
384,171.67,77.91,L
385,166.34,58.8,M
386,160.19,58.3,M
387,170.15,61.61,M
388,173.48,61.48,M
389,168.48,64.56,M
390,178.27,79.0,M
391,171.31,74.86,M
392,178.91,89.53,L
393,174.4,79.35,M
394,158.72,79.78,M
395,187.89,79.32,M
396,170.51,90.77,M
397,158.4,60.22,M
398,159.94,70.0,M
399,161.86,88.84,M
400,157.23,72.89,M
401,174.18,59.95,M
402,163.54,59.11,M
403,165.2,77.9,M
404,180.41,79.71,L
405,177.7,61.28,M
406,151.7,71.79,M
407,174.02,74.86,M
408,159.86,63.46,M
409,171.67,52.98,M
410,153.12,39.98,M
411,156.95,60.72,M
412,155.91,62.81,M
413,179.83,73.84,M
414,177.58,82.52,L
415,165.94,81.24,L
416,176.61,91.02,L
417,178.49,53.83,M
418,169.51,46.3,M
419,178.67,59.35,M
420,156.49,61.58,M
421,172.09,71.77,L
422,182.97,56.6,M
423,163.85,67.77,M
424,180.73,53.32,M
425,175.24,78.55,M
426,180.03,58.75,M
427,173.52,49.8,M
428,171.79,63.38,M
429,167.6,49.25,M
430,158.72,59.4,M
431,175.85,77.36,L
432,166.88,54.4,M
433,177.96,63.75,M
434,182.39,75.49,M
435,177.8,49.27,M
436,158.77,59.71,M
437,163.87,77.42,M
438,176.29,82.2,M
439,170.8,75.0,L
440,178.99,85.96,L
441,180.57,44.8,M
442,172.13,68.7,M
443,165.75,73.41,M
444,155.02,70.84,M
445,160.49,73.1,M
446,163.41,58.0,M
447,169.9,53.81,M
448,168.17,73.27,M
449,174.88,57.29,L
450,160.59,57.73,M
451,160.98,78.76,L
452,166.12,70.25,M
453,170.0,86.61,L
454,160.96,88.1,L
455,174.86,59.43,M
456,162.05,74.08,M
457,147.65,80.04,M
458,180.78,66.23,M
459,181.15,73.04,M
460,202.14,65.8,M
461,187.34,57.53,M
462,155.68,74.94,M
463,177.41,50.4,M
464,181.97,66.73,M
465,176.76,72.77,M
466,159.14,65.73,M
467,176.31,74.89,M
468,172.97,47.77,M
469,165.33,69.68,M
470,162.43,83.56,M
471,170.28,75.23,M
472,175.94,68.8,L
473,167.83,63.28,M
474,169.41,52.74,M
475,182.68,66.79,M
476,177.16,43.91,M
477,169.96,70.35,M
478,161.07,66.04,M
479,172.2,47.0,M
480,172.62,45.16,M
481,177.88,88.14,M
482,173.4,51.93,M
483,185.96,76.69,M
484,172.19,76.35,M
485,192.47,75.88,M
486,167.1,58.42,M
487,170.13,59.54,M
488,183.63,75.77,M
489,176.8,76.78,L
490,159.45,78.14,M
491,181.55,65.5,M
492,170.35,44.81,M
493,169.42,62.78,M
494,158.84,57.02,M
495,182.88,77.22,M
496,182.74,50.22,M
497,168.25,71.07,M
498,163.2,78.42,M
499,194.12,64.04,L
500,176.47,52.74,M
501,159.4,38.98,M
502,180.69,68.68,M
503,185.84,77.25,M
504,177.32,51.84,M
505,159.49,39.4,M
506,182.22,53.73,M
507,158.39,79.25,M
508,174.91,66.63,M
509,160.26,78.88,M
510,177.74,26.89,M
511,165.06,96.25,M
512,170.28,76.58,M
513,178.73,59.61,M
514,177.93,74.44,M
515,167.89,71.9,M
516,164.48,80.19,M
517,182.79,59.83,M
518,158.52,74.3,M
519,181.36,85.6,L
520,172.09,52.06,M
521,156.96,62.3,M
522,174.44,88.71,M
523,153.1,64.42,M
524,166.49,86.36,M
525,155.64,74.07,M
526,187.0,71.51,M
527,180.79,98.8,M
528,179.03,74.29,M
529,173.43,74.39,M
530,184.11,50.46,L
531,185.28,52.58,M
532,184.2,61.62,M
533,165.98,83.18,M
534,169.9,75.02,M
535,161.34,50.56,M
536,158.2,45.63,M
537,173.0,68.7,M
538,159.82,55.09,M
539,157.64,77.29,M
540,170.17,59.97,L
541,152.03,70.51,M
542,162.29,72.1,M
543,159.31,73.54,M
544,183.09,60.07,L
545,168.03,42.31,M
546,169.18,56.53,M
547,165.28,81.22,M
548,177.5,76.83,M
549,159.68,79.96,M
550,190.02,74.22,L
551,162.35,62.72,M
552,158.3,52.79,M
553,169.22,70.63,L
554,166.0,76.85,M
555,168.06,71.34,M
556,170.66,59.7,M
557,151.13,62.24,M
558,178.7,64.89,M
559,163.26,77.81,M
560,167.19,63.2,M
561,153.0,67.41,M
562,199.54,65.23,M
563,179.88,65.97,M
564,161.26,88.22,M
565,173.75,82.72,M
566,170.0,75.62,M
567,159.1,70.36,M
568,162.55,59.57,M
569,185.97,101.87,L
570,161.59,55.4,M
571,154.62,63.88,M
572,187.5,54.83,M
573,183.13,65.83,M
574,154.61,66.85,M
575,144.2,73.4,M
576,153.07,49.64,M
577,164.71,64.02,M
578,159.92,71.98,M
579,168.93,65.01,M
580,168.46,79.2,M
581,178.89,84.21,M
582,179.22,91.18,M
583,169.68,63.36,M
584,175.2,59.3,M
585,161.43,66.2,M
586,189.53,61.34,M
587,172.2,47.43,M
588,157.95,61.46,M
589,170.28,84.61,L
590,196.53,64.84,L
591,174.14,87.59,M
592,178.45,89.18,M
593,169.25,74.56,M
594,161.25,91.83,M
595,187.34,61.39,M
596,177.97,65.32,M
597,162.8,71.54,M
598,170.88,38.66,M
599,168.2,61.34,M
600,161.16,68.92,L
601,156.02,64.41,M
602,173.34,66.78,M
603,170.13,66.69,M
604,162.84,42.66,M
605,178.23,57.75,M
606,194.49,59.9,L
607,173.63,64.92,M
608,164.44,62.87,M
609,175.3,63.82,M
610,165.81,106.98,M
611,160.67,77.17,L
612,160.08,91.78,M
613,182.93,68.98,L
614,187.82,59.58,L
615,158.76,63.92,L
616,162.65,59.66,M
617,174.52,73.03,M
618,171.97,76.29,L
619,173.28,51.71,M
620,163.79,85.15,M
621,175.6,54.15,M
622,177.71,70.85,M
623,166.63,76.79,M
624,177.31,68.76,M
625,164.86,87.73,L
626,171.05,66.36,M
627,176.31,75.53,M
628,176.62,84.03,M
629,168.13,74.03,M
630,165.79,61.13,M
631,173.85,73.58,M
632,156.36,53.83,M
633,157.79,70.94,M
634,163.98,68.35,L
635,172.89,64.16,M
636,175.12,82.78,L
637,181.66,74.2,M
638,169.55,74.82,M
639,165.07,67.18,M
640,182.71,81.07,L
641,173.96,54.67,M
642,169.08,81.54,M
643,175.61,48.48,M
644,181.2,67.55,M
645,178.82,71.35,L
646,182.5,72.51,M
647,172.32,66.67,M
648,179.28,71.57,M
649,163.64,57.23,M
650,169.56,87.34,M
651,159.24,81.87,M
652,159.41,61.15,M
653,175.39,82.54,M
654,167.09,68.19,M
655,178.33,69.56,M
656,158.88,44.28,M
657,170.14,79.98,M
658,193.24,67.01,M
659,173.81,55.38,M
660,149.36,76.79,M
661,172.11,70.01,M
662,161.01,88.36,L
663,164.03,73.47,M
664,189.54,82.43,L
665,165.51,91.19,M
666,161.29,52.14,M
667,166.36,77.95,L
668,181.51,69.99,L
669,192.59,79.83,L
670,154.89,58.36,M
671,143.23,68.96,M
672,164.65,70.54,M
673,165.08,71.71,M
674,181.74,43.06,M
675,165.09,87.36,L
676,149.16,36.51,M
677,164.98,65.54,M
678,176.74,50.24,M
679,172.52,63.31,M
680,163.58,65.75,L
681,153.77,52.07,M
682,185.67,65.33,M
683,149.99,71.39,M
684,191.76,98.44,L
685,174.85,66.47,L
686,169.97,68.82,L
687,176.26,95.7,M
688,164.44,56.25,M
689,165.06,75.83,M
690,169.06,97.86,L
691,151.21,72.74,M
692,165.07,53.67,M
693,171.01,75.18,M
694,193.31,56.12,M
695,175.15,77.51,M
696,182.97,49.04,M
697,166.93,58.8,M
698,146.53,58.5,M
699,178.75,88.16,L
700,183.95,39.08,M
701,156.17,63.13,M
702,170.95,85.88,M
703,161.64,48.75,M
704,180.06,70.37,L
705,181.85,68.89,M
706,179.92,59.01,M
707,158.5,69.58,M
708,170.53,83.92,M
709,165.74,103.38,L
710,171.97,57.18,M
711,174.01,64.68,M
712,173.23,73.67,L
713,173.14,58.6,M
714,175.83,54.07,M
715,177.14,67.43,M
716,152.24,53.39,M
717,170.27,62.25,M
718,178.73,69.68,M
719,175.58,81.47,M
720,177.07,44.48,M
721,180.12,76.99,L
722,171.82,86.37,M
723,166.95,68.62,L
724,180.27,81.5,M
725,192.5,74.13,M
726,193.45,49.45,M
727,167.66,55.25,M
728,172.77,69.48,L
729,153.66,85.76,M
730,184.62,92.77,L
731,168.09,52.88,M
732,169.47,45.08,M
733,160.77,86.75,L
734,167.19,68.47,M
735,165.43,108.28,M
736,170.55,80.89,M
737,163.71,50.72,M
738,177.12,74.11,M
739,175.04,71.71,M
740,156.23,67.26,M
741,170.8,68.82,M
742,178.82,67.14,M
743,174.18,81.11,M
744,166.55,79.99,M
745,181.26,77.69,M
746,178.81,64.65,M
747,188.54,82.19,L
748,154.48,60.87,M
749,166.0,72.84,M
750,181.06,80.8,L
751,159.88,75.12,M
752,173.54,68.39,L
753,164.52,63.23,M
754,175.31,79.08,M
755,156.85,51.91,M
756,177.92,78.3,M
757,175.34,66.87,M
758,191.91,71.43,L
759,195.68,60.45,M
760,184.89,51.0,M
761,170.46,80.61,M
762,160.87,80.64,L
763,159.49,59.06,M
764,158.51,81.84,M
765,167.22,54.51,M
766,184.85,77.73,M
767,160.1,76.26,M
768,164.47,56.81,M
769,170.95,63.06,M
770,169.33,55.45,M
771,183.46,58.44,M
772,165.21,50.45,M
773,156.12,63.74,M
774,178.71,61.32,M
775,168.19,64.88,L
776,168.45,50.45,M
777,180.37,65.05,M
778,170.51,52.31,M
779,158.55,59.76,M
780,173.33,70.42,M
781,160.8,67.97,M
782,170.72,39.31,M
783,187.72,88.59,L
784,176.72,59.5,M
785,158.69,69.58,M
786,175.85,63.39,M
787,171.83,62.03,M
788,158.27,64.56,M
789,177.44,67.02,M
790,175.25,37.5,M
791,171.16,81.16,L
792,183.11,65.12,M
793,165.0,62.34,M
794,164.57,65.52,M
795,170.27,44.36,M
796,171.77,73.8,M
797,164.92,80.77,M
798,189.87,49.72,M
799,158.73,57.77,M
800,165.19,78.18,M
801,176.1,49.27,M
802,183.2,74.01,M
803,176.3,75.49,M
804,184.04,54.5,M
805,176.37,77.75,L
806,183.07,61.49,M
807,182.72,67.99,M
808,170.36,62.38,M
809,178.9,72.05,M
810,170.33,81.34,M
811,158.32,67.48,M
812,160.49,76.06,M
813,172.17,69.62,M
814,161.71,65.49,M
815,175.44,80.52,M
816,152.98,61.94,M
817,183.02,82.77,L
818,161.43,69.67,M
819,167.56,51.96,M
820,169.7,78.46,M
821,158.73,115.4,M
822,172.88,73.69,M
823,187.28,67.15,M
824,188.18,57.72,M
825,166.54,50.16,M
826,174.73,70.38,M
827,178.66,72.4,M
828,182.2,58.94,L
829,168.07,77.94,L
830,147.35,65.5,M
831,187.07,62.71,L
832,154.72,72.54,M
833,175.05,60.65,M
834,151.77,69.41,M
835,156.9,69.13,M
836,180.27,50.41,M
837,173.23,64.07,M
838,169.21,79.49,M
839,178.47,64.44,L
840,170.27,65.72,M
841,155.73,72.96,M
842,172.81,59.1,M
843,163.76,71.84,M
844,188.65,59.05,M
845,159.46,61.95,M
846,182.6,73.68,M
847,172.34,53.9,M
848,183.9,67.55,M
849,176.49,65.72,M
850,165.07,63.5,M
851,177.3,63.73,M
852,163.73,48.51,M
853,175.09,79.26,M
854,184.57,69.89,L
855,169.87,67.42,M
856,170.77,70.92,L
857,185.4,69.17,L
858,142.82,61.89,M
859,178.87,73.5,M
860,165.39,57.6,L
861,181.22,85.0,M
862,164.66,75.21,M
863,168.72,67.68,M
864,161.29,64.85,M
865,175.98,78.9,M
866,151.73,73.12,M
867,170.21,50.65,M
868,187.12,65.19,M
869,169.29,73.38,M
870,165.54,50.38,M
871,162.91,44.51,M
872,162.89,52.58,M
873,169.89,57.12,L
874,177.18,82.58,M
875,178.94,77.95,M
876,163.18,105.9,L
877,174.87,65.21,M
878,160.05,54.93,M
879,171.99,35.79,M
880,168.18,77.24,M
881,173.42,69.14,M
882,158.47,57.41,M
883,156.59,78.25,L
884,176.14,60.18,M
885,165.6,82.47,M
886,187.39,55.4,M
887,157.39,49.58,M
888,166.64,61.33,M
889,171.97,64.31,M
890,175.51,50.95,M
891,164.01,87.92,M
892,164.96,62.71,M
893,182.74,95.55,M
894,167.48,66.56,M
895,182.18,84.22,M
896,190.71,68.43,M
897,172.8,58.3,M
898,176.17,63.39,M
899,160.92,71.41,M
900,170.03,61.28,M
901,180.43,78.23,M
902,162.9,64.1,M
903,174.88,60.61,M
904,171.73,85.66,L
905,177.93,55.13,M
906,161.54,57.98,M
907,156.2,78.42,M
908,173.99,57.3,M
909,175.13,63.28,M
910,143.4,72.71,M
911,162.05,70.3,M
912,162.63,66.45,M
913,173.93,83.95,M
914,183.17,51.05,M
915,152.8,68.93,M
916,190.23,68.64,M
917,180.26,68.54,M
918,179.17,82.21,M
919,170.52,67.79,M
920,153.76,67.13,M
921,162.75,66.21,M
922,170.18,88.5,M
923,188.8,84.17,L
924,162.71,64.19,M
925,174.16,67.13,M
926,173.03,70.18,M
927,160.27,62.26,M
928,168.36,67.22,M
929,174.88,48.83,M
930,161.29,67.3,M
931,175.09,89.63,M
932,167.05,75.46,L
933,159.69,76.93,M
934,168.5,64.35,M
935,174.27,73.21,M
936,152.78,66.78,M
937,174.58,58.06,M
938,174.1,58.38,M
939,166.57,58.95,M
940,169.85,56.23,M
941,169.91,58.14,M
942,174.26,69.29,M
943,183.77,35.62,M
944,183.64,55.26,M
945,161.88,54.45,M
946,188.28,72.7,M
947,178.86,59.91,L
948,185.71,73.58,M
949,180.72,71.83,M
950,181.37,73.67,M
951,184.9,71.63,M
952,176.15,72.05,M
953,171.97,65.69,M
954,164.89,64.25,M
955,166.63,66.56,M
956,175.34,76.44,L
957,156.07,65.04,M
958,153.15,90.64,M
959,162.06,80.62,M
960,172.12,55.11,M
961,173.74,78.3,M
962,190.86,68.81,M
963,182.26,67.15,M
964,130.63,73.89,M
965,165.65,59.47,M
966,149.58,108.94,L
967,173.7,92.7,L
968,161.05,81.35,M
969,176.0,83.58,L
970,155.49,70.67,M
971,162.58,37.94,M
972,164.99,82.63,L
973,178.57,57.75,M
974,180.82,75.98,M
975,172.38,83.59,L
976,170.1,70.06,M
977,165.38,39.5,M
978,162.66,85.12,M
979,184.97,56.85,M
980,153.68,80.19,M
981,179.37,63.34,M
982,175.03,72.98,M
983,186.8,60.7,L
984,166.46,83.69,L
985,162.02,39.97,M
986,163.08,61.16,M
987,164.66,86.6,L
988,181.59,98.06,M
989,145.03,94.31,M
990,169.44,44.56,M
991,176.92,66.14,M
992,160.6,81.64,L
993,172.14,104.84,L
994,188.1,85.33,L
995,156.61,47.2,M
996,172.58,68.01,M
997,169.8,74.21,L
998,170.08,64.26,M
999,178.72,57.95,M
1000,178.68,79.94,L
