x,y,label
-1.99931,-2.59335,1
3.11203,-1.44637,-1
4.46330,2.99170,-1
-3.91157,2.16322,-1
-1.94331,-5.58840,-1
4.30787,3.17652,-1
0.64298,0.06264,1
-4.50019,2.15247,-1
1.67472,3.25473,1
2.13569,-4.98086,-1
-2.20936,4.47731,-1
-4.03081,-0.28775,-1
-0.75691,3.84140,-1
-2.17670,0.10241,1
-4.41516,1.78118,-1
-1.75479,1.47643,1
-3.31073,-1.05796,-1
5.74006,1.37228,-1
2.04425,-2.84273,1
-3.56169,-0.50104,-1
1.53712,0.06719,1
-1.42885,-1.54356,1
1.62223,-0.34494,1
0.08247,-3.88489,-1
-0.61337,-2.53237,1
1.65242,-4.16487,-1
0.54738,-0.09808,1
1.45392,0.29091,1
1.40186,0.46994,1
-1.26233,2.64881,1
-1.74357,1.10063,1
0.53890,-1.42777,1
3.32140,2.96823,-1
1.13392,-3.03918,-1
-1.30251,-5.75836,-1
0.29392,0.18265,1
-1.45967,-0.17314,1
3.67632,-5.41866,-1
1.40449,2.26401,1
-4.59190,-0.80739,-1
-1.60289,1.61218,1
3.69649,-4.00645,-1
-3.61610,-0.37165,-1
-3.55385,-2.06144,-1
3.88028,-3.16338,-1
4.19191,0.38014,-1
4.35866,2.59056,-1
3.08250,1.65589,-1
0.95093,2.25833,1
-0.42306,-1.56861,1
-0.90981,1.05007,1
3.93593,-0.92605,-1
-0.67471,1.65200,1
2.05844,-2.79107,-1
0.71338,1.06430,1
-3.61959,3.02509,-1
-3.01006,-0.26993,1
2.51760,-2.15810,1
-5.28007,2.03201,-1
3.01166,0.88121,-1
1.36107,-0.11240,1
4.37595,0.64446,-1
4.29048,-4.16440,-1
-0.70768,-1.44603,1
-1.06324,-3.45487,-1
1.23310,-1.19737,1
-3.75499,3.77331,-1
-0.16692,1.23688,1
-2.83621,3.61064,-1
1.40606,0.71143,1
1.20819,-4.51898,-1
-3.42135,3.01259,-1
2.31202,-4.71188,-1
1.94042,0.97407,1
-3.89313,-1.83380,-1
-2.54767,0.07723,1
3.88900,-0.94213,-1
-1.68607,0.81703,1
-4.24915,-4.38798,-1
3.91132,-0.23362,-1
-1.00080,4.90486,-1
4.34626,1.60507,-1
1.24953,3.52560,-1
-2.87866,1.13655,1
-2.01298,-0.31567,1
-3.87460,1.30091,-1
-5.46752,-2.03862,-1
0.30629,2.19510,1
-1.83315,-2.03773,1
-1.59384,-4.49326,-1
1.33547,-3.82351,-1
1.33297,1.98801,1
3.16140,2.13235,-1
1.31643,-3.16130,-1
4.96401,2.92888,-1
-2.66525,-0.73266,1
-1.94247,0.95099,1
-5.60006,-1.97072,-1
-4.44145,-0.14663,-1
3.08079,-2.48262,1
0.58002,-2.00532,1
3.01146,-2.03604,-1
-0.97800,-2.51332,1
-4.50848,0.23772,-1
0.11091,1.68872,1
3.50817,2.45494,-1
-0.63997,2.41492,1
-1.75783,0.86653,1
0.04572,-1.31018,1
2.32382,4.73895,-1
-2.58026,-0.04276,1
0.51124,-4.04823,-1
-1.46256,-4.88016,-1
-3.30977,2.13112,-1
-1.79056,-2.82085,1
0.00176,0.02262,1
-0.95018,-1.34229,1
-2.68368,-1.08753,1
-3.06497,-0.92629,1
4.42563,-2.99342,-1
0.62218,-0.23327,1
-0.70756,-0.10176,1
1.91500,1.41857,1
-4.14579,-0.60593,-1
0.90281,0.78067,1
-3.18976,-3.62237,-1
-2.61744,-0.49335,1
3.56386,-0.78177,1
3.60085,-2.40260,-1
0.05470,1.09487,1
-2.08469,1.19063,1
4.57976,-3.77594,-1
1.66674,-1.09385,1
1.74077,-0.93047,1
-1.23463,0.04815,1
3.54527,-3.02009,-1
-0.36483,2.00500,1
-1.70111,-0.53780,1
0.65285,0.15408,1
3.04642,-2.29900,1
3.59233,3.32356,-1
0.49933,-0.31988,1
3.24276,-0.62737,1
4.79005,-0.91753,-1
0.44806,-0.22939,1
0.59180,-0.23647,1
1.15498,-0.92461,1
-0.75736,-1.15476,1
-1.08076,2.18167,1
-2.30888,-0.17577,1
0.67156,0.54074,1
3.04050,0.46818,1
-1.88434,-1.33142,1
-3.23700,-0.95406,-1
3.49892,3.18482,-1
1.75897,-1.04227,1
3.90991,1.08708,-1
-2.47204,0.70021,1
0.67863,-0.16316,1
-4.71306,0.94024,-1
-0.10068,-0.78139,1
2.73456,1.29874,-1
0.70100,2.90692,1
4.06734,-0.34224,-1
0.74969,-1.64617,1
-0.31163,-2.74269,1
4.27209,-4.14140,-1
-3.78199,0.13264,-1
3.25901,0.95675,-1
0.02708,-4.94776,-1
3.98315,-2.79742,-1
-0.28925,1.13389,1
-2.57997,2.24298,-1
-1.31704,1.13585,1
-5.02346,-0.58112,-1
4.06908,1.53930,-1
4.25811,-1.37138,-1
-2.93869,3.10420,-1
1.55614,0.05401,1
4.93897,2.76999,-1
-3.67991,-3.11191,-1
-0.84488,1.85552,1
0.01416,3.18392,1
-2.20745,0.03817,1
1.03964,-0.79507,1
-4.71184,0.79273,-1
-1.77340,0.31278,1
2.09941,-3.50053,-1
-1.95367,-2.16343,1
-1.31788,3.07957,1
-1.53511,0.10188,1
2.43826,-2.54919,1
-5.03445,0.23345,-1
3.52876,2.06026,-1
-0.55502,4.21599,-1
-0.24068,2.51199,1
3.33441,-1.06689,1
4.62521,2.98465,-1
1.13990,0.66585,1
-1.65996,1.81777,1
-1.03104,-0.01736,1
5.98844,2.78865,-1
-0.07210,0.14111,1
1.36102,1.21317,1
-2.86542,2.87009,-1
-6.35264,1.47463,-1
-0.26675,-2.01059,1
0.88438,0.85206,1
-2.00822,-2.35304,1
2.73007,-1.14634,1
4.48233,-1.30635,-1
-1.40028,-4.04963,-1
-0.74286,-0.85781,1
4.98036,-0.80824,-1
-1.22984,2.39879,1
4.08261,1.37438,-1
0.62423,0.08119,1
1.00204,1.83702,1
-3.82936,-1.36112,-1
0.24928,-1.88122,1
-2.93077,2.95775,-1
1.33682,-4.26940,-1
-1.51581,-2.39509,-1
2.82860,0.08999,1
-1.61416,-1.27545,1
-0.71644,0.90292,1
-3.43064,-3.46791,-1
0.29155,-0.83151,1
0.37052,2.27182,1
-3.36313,-3.08806,-1
0.95775,-1.61247,1
-2.36920,-1.74682,1
-0.86074,0.68429,1
3.94575,2.89633,-1
3.12594,-3.45396,-1
3.59266,0.25673,-1
-3.15495,4.29033,-1
1.72069,2.21528,1
-3.54812,3.00464,-1
-4.69937,2.42346,-1
-1.77781,-5.03453,-1
-1.61021,1.79522,1
-4.82317,1.41636,-1
1.62782,-1.39762,1
0.81956,1.88916,1
0.24473,1.64511,1
-4.70391,-0.09271,-1
-3.08050,3.19815,-1
2.31070,-2.58225,1
1.39342,-4.77534,-1
0.30221,-4.45286,1
-0.54527,2.45095,1
2.93579,3.68776,-1
0.37109,1.11150,1
-3.52878,-2.03839,-1
-1.17228,-1.94029,1
-0.47452,-5.04393,-1
3.74903,-2.27348,-1
-1.95929,3.63587,-1
1.30113,-4.39666,-1
3.31023,-2.73827,-1
-0.00761,4.98480,-1
-1.12493,-3.98797,-1
-1.23836,-1.35761,1
0.30092,0.65900,1
-3.66971,2.24507,-1
3.95157,-1.67606,-1
-2.46431,3.24581,-1
4.71149,2.50351,-1
-1.93075,4.17255,-1
3.94478,0.66325,-1
-4.90445,-1.28013,-1
-0.87437,-0.74066,1
-0.76812,4.42062,-1
-0.40941,-2.34165,1
2.10485,-2.69740,-1
-1.20504,1.92468,1
0.24029,0.73440,1
0.37660,-5.19808,-1
1.41822,0.59853,1
-1.22742,4.40924,-1
-2.59838,-0.17573,1
-4.05288,-1.11270,-1
4.61744,0.53098,-1
-0.95640,-3.44135,1
-1.13909,-2.13951,1
0.01930,-4.99741,-1
3.64209,1.74718,-1
1.64381,-4.20099,-1
-3.82549,-5.21076,-1
1.37717,0.22184,1
-1.25223,-0.89377,1
-2.06371,4.38206,-1
0.07383,1.95414,1
0.24121,-1.07352,1
0.64211,1.81868,1
-1.20332,1.48346,1
3.60927,-0.89798,-1
-1.36068,2.21683,1
2.70097,1.16986,1
-2.50715,3.90690,-1
-1.89448,-1.24299,1
3.28419,-0.14527,-1
3.29504,3.02351,-1
2.19207,-0.37534,1
-1.42202,4.95866,-1
-1.47865,-0.33808,1
1.05690,-0.78265,1
-4.84528,-2.59593,-1
-1.36598,-1.76497,1
0.06345,-4.25219,-1
-1.22999,4.37787,-1
5.36511,-0.82033,-1
0.84619,1.34847,1
-1.56135,-0.39402,1
1.20686,1.44943,1
0.66233,-0.47856,1
-2.06767,-4.61853,-1
-0.88782,3.89006,-1
4.11989,3.11863,-1
3.69636,-2.84778,-1
3.41533,2.86896,-1
3.56015,-1.22520,-1
2.08972,-1.57485,1
-1.37432,-1.88245,1
-1.09513,5.75387,-1
1.82034,-0.54217,1
3.27888,-4.14637,-1
1.46552,-2.81229,-1
-0.97358,1.35411,1
-2.39025,-3.28832,-1
-0.60590,1.69584,1
-0.91319,-0.41792,1
4.54935,1.35285,-1
-1.15589,2.25696,1
4.79888,-1.55718,-1
1.80503,2.70830,-1
-3.45489,-1.32797,-1
3.68240,-0.32473,-1
0.41648,-0.95482,1
-4.05070,-2.01410,-1
-0.33600,-4.40985,-1
-1.53483,-1.70884,1
3.50987,-1.35242,-1
-3.54726,1.56552,-1
5.13215,2.56627,-1
2.76288,4.53635,-1
0.47993,0.32035,1
-3.48690,-1.78977,-1
-0.66991,1.88892,1
-2.11178,-1.10802,1
1.17477,-0.55554,1
3.93541,-0.76861,-1
-0.19256,-0.31432,1
0.94492,-1.65801,1
-2.15471,2.36156,1
4.05692,2.34795,-1
3.54344,3.63640,-1
3.02816,-0.57943,1
0.19191,-1.42738,1
1.61517,0.09344,1
-1.09689,-3.10970,-1
-3.25001,-3.43481,-1
-1.86232,-1.82292,1
-3.54988,-3.86878,-1
-1.01046,-2.30450,1
0.23001,-3.14485,1
5.68809,2.79823,-1
3.14034,-2.24686,-1
-0.18590,-1.34974,1
0.82541,-4.92789,-1
-3.94896,-1.27019,-1
-0.54862,2.02317,1
-2.52874,-2.02708,1
1.15935,-0.26972,1
4.23278,-1.01203,-1
-3.76102,-2.20244,-1
0.46130,1.28747,1
1.51707,1.42221,1
0.88166,0.33685,1
-1.71606,-0.62027,1
1.01429,-3.99010,-1
2.65771,-0.24027,1
1.82459,1.20845,1
-2.17493,-2.71194,-1
-1.40540,-0.90300,1
-0.20007,0.31065,1
-3.74145,2.77240,-1
-0.05808,1.05179,1
-3.87360,1.04003,-1
-4.16449,5.06690,-1
2.19599,0.57525,1
-3.15496,-3.69069,-1
-3.92835,1.12373,-1
0.91807,0.26815,1
-3.16546,-4.89862,-1
-0.51478,-2.18929,1
0.85580,2.03056,1
3.02987,0.79275,-1
-1.50369,-1.23704,1
0.10102,1.25822,1
4.44786,-0.27833,-1
-0.76786,3.28545,-1
-0.67359,3.44030,1
