x,y,label
-1.36806,-2.33935,-1
1.81500,0.79257,1
2.35655,2.75025,1
3.25719,4.25278,1
-2.77776,-3.03666,-1
1.51286,3.22838,1
4.66892,1.75719,1
4.48316,3.87064,1
-3.77312,-3.37076,-1
-3.08672,-1.43423,-1
3.48479,2.39535,1
2.86433,5.18096,1
2.57837,3.80732,1
-4.88903,-3.03767,-1
-3.00990,-2.56704,-1
-2.85274,-3.50369,-1
3.18963,2.70224,1
-4.04390,-3.53865,-1
-3.13975,-4.57001,-1
-4.83243,-2.43040,-1
-3.99651,-1.75486,-1
-2.85898,-3.53210,-1
3.57696,2.44201,1
2.20835,2.44026,1
3.05747,1.97325,1
-4.48086,-2.81759,-1
3.29247,1.06782,1
-2.89588,-3.65127,-1
-2.84184,-3.82982,-1
4.65780,4.54507,1
2.09255,2.10549,1
4.18646,2.67125,1
-1.98717,-2.54638,-1
3.36956,2.51301,1
2.83121,2.66659,1
1.72532,1.87164,1
3.92383,3.68307,1
3.52437,4.13465,1
-3.57180,-2.96071,-1
-3.49828,-1.90392,-1
2.64004,0.83104,1
-4.25423,-1.82893,-1
-3.74365,-1.93453,-1
-3.56312,-3.48795,-1
3.27321,2.22684,1
-2.27306,-2.33136,-1
-1.70796,-2.50934,-1
-2.98213,-3.36284,-1
-3.84944,-4.54066,-1
-2.17195,-3.02745,-1
-3.52200,-2.99899,-1
-3.05090,-3.42321,-1
-3.98718,-1.20221,-1
-2.07548,-2.96901,-1
2.18301,1.52745,1
4.50304,4.46950,1
1.99710,3.65052,1
-2.05404,-1.07374,-1
-3.59125,-2.31600,-1
-3.36782,-3.64195,-1
4.61400,2.69785,1
-3.56637,-2.55908,-1
2.67949,2.58737,1
3.44475,4.08233,1
-4.18855,-2.32763,-1
-2.82500,-2.87874,-1
-1.56062,-3.72727,-1
-1.33705,-2.38492,-1
3.47301,2.84941,1
1.83960,3.27598,1
2.74549,3.48966,1
-2.49866,-1.67789,-1
3.31353,4.18132,1
3.38479,4.00703,1
3.13748,3.91120,1
3.77287,2.75806,1
-3.67955,-2.77493,-1
-3.65836,-2.97669,-1
3.22478,2.32119,1
2.42109,3.69047,1
3.70342,2.49475,1
-1.85295,-1.90715,-1
-2.69497,-2.32996,-1
1.47936,2.16103,1
1.26925,2.48265,1
4.36238,3.83030,1
1.74732,3.69280,1
-2.21370,-2.16917,-1
-1.96050,-2.71873,-1
3.78109,2.95469,1
-2.75631,-1.84128,-1
3.75104,3.33658,1
-2.28420,-3.09678,-1
-2.65722,-1.66152,-1
-1.83936,-1.89068,-1
-2.47695,-3.36872,-1
-3.26902,-5.51227,-1
-3.72982,-3.73540,-1
-3.77048,-3.46708,-1
2.31218,3.53743,1
3.14832,1.59139,1
-3.62242,-3.33308,-1
-3.24127,-2.82228,-1
3.94360,3.30892,1
3.64974,3.28077,1
-3.74959,-4.15175,-1
-4.11582,-3.80146,-1
-2.19543,-3.08030,-1
-2.96948,-3.50036,-1
-2.81621,-1.46903,-1
2.94199,3.09039,1
2.38447,1.63618,1
-1.49654,-3.17131,-1
-2.81988,-4.81828,-1
2.58146,3.23218,1
4.22933,2.37812,1
4.12838,4.36192,1
-1.58947,-5.41853,-1
3.66678,2.71337,1
-3.54579,-3.33980,-1
-3.33960,-2.12224,-1
5.01184,3.23152,1
1.54868,3.92187,1
4.79327,3.12301,1
-2.97660,-2.44565,-1
3.32418,3.42774,1
2.30586,3.87159,1
3.58741,3.78186,1
2.00751,1.72192,1
-3.40998,-3.82807,-1
3.13087,2.48963,1
-2.23567,-2.26112,-1
2.60552,2.93573,1
-4.00627,-3.23025,-1
-4.27308,-3.15507,-1
1.63921,2.59034,1
-3.90396,-2.80751,-1
2.10882,2.49753,1
-1.89220,-3.22197,-1
-3.20143,-2.53587,-1
-1.60240,-3.49572,-1
3.24124,2.60438,1
2.58237,0.11315,1
-4.55422,-2.10715,-1
-2.40168,-4.58219,-1
3.47072,5.18325,1
1.42855,1.64938,1
2.26252,3.30883,1
-3.24474,-2.93787,-1
2.40788,2.78354,1
3.74841,3.44885,1
1.99271,2.51484,1
4.60053,3.68999,1
-2.53834,-2.59962,-1
2.49330,3.33084,1
-2.23874,-1.21853,-1
2.44447,3.65264,1
-4.81274,-1.02380,-1
4.07762,1.59881,1
-2.80410,-3.81207,-1
6.15855,4.86280,1
-3.31471,-2.04363,-1
1.49459,2.82756,1
-2.87476,-1.89504,-1
2.62216,3.10955,1
2.73192,4.69245,1
2.95469,3.74254,1
3.22676,2.94726,1
-1.73571,-2.42588,-1
3.37985,3.67364,1
-2.39386,-4.53070,-1
-2.60172,-2.44784,-1
3.35152,3.49183,1
1.82607,3.69227,1
2.07063,3.90922,1
3.84269,3.43617,1
-0.94534,-5.12334,-1
-4.18264,-4.88335,-1
1.16006,3.93079,1
4.97768,4.31265,1
-4.73881,-3.14029,-1
1.48462,4.92539,1
3.81039,3.40302,1
2.86939,3.38048,1
2.55434,0.98861,1
-3.66034,-1.51910,-1
-2.08952,-3.31412,-1
2.58686,3.02508,1
3.40667,3.67734,1
2.79171,0.97548,1
2.99251,2.50542,1
-2.32547,-3.16966,-1
3.63183,2.26858,1
1.78942,1.88314,1
-3.23099,-2.48582,-1
3.49290,3.68314,1
-3.49155,-3.90811,-1
4.20498,3.17305,1
3.02051,3.70680,1
1.84613,2.87514,1
-3.35554,-2.06364,-1
2.46622,1.57109,1
-1.57771,-3.08953,-1
2.04518,3.00336,1
-3.35753,-3.24666,-1
3.99643,3.28785,1
-3.15818,-2.27550,-1
2.81845,2.83438,1
-4.06392,-2.76160,-1
3.12168,2.74346,1
3.41323,2.43545,1
-1.68432,-2.20452,-1
2.75487,3.66250,1
3.39617,4.55718,1
-2.81184,-3.15415,-1
5.20627,2.62682,1
4.11567,4.37303,1
1.62833,3.56711,1
-5.27654,-3.34611,-1
-1.47469,-3.58137,-1
3.16007,1.73750,1
3.19690,2.83178,1
2.54846,3.30128,1
-1.75428,-2.74172,-1
1.13555,2.25074,1
2.38314,1.78968,1
-1.88849,-3.62780,-1
-5.29310,-1.37840,-1
-2.38052,-3.48486,-1
-1.77321,-4.67143,-1
-0.59973,-2.07054,-1
-4.53850,-2.59309,-1
-2.57681,-2.18017,-1
-3.23986,-3.62279,-1
-2.25593,-4.61927,-1
2.76419,3.72422,1
-3.89779,-2.37289,-1
2.47369,3.86354,1
-2.05711,-3.34659,-1
2.08301,2.49885,1
2.97349,4.05174,1
-3.52996,-3.33151,-1
2.11916,2.91396,1
-2.01968,-2.15870,-1
3.69150,3.42151,1
1.84906,2.67301,1
3.68645,3.54132,1
-2.05885,-5.21629,-1
4.12542,3.40911,1
-4.55740,-2.08924,-1
2.70269,2.52780,1
3.48277,3.79101,1
-2.70381,-2.39936,-1
-3.16553,-3.03139,-1
3.98481,2.40647,1
-3.38891,-3.75908,-1
-2.70779,-4.26340,-1
-4.54549,-3.55619,-1
-2.53489,-2.61152,-1
3.50754,4.33802,1
-4.14433,-2.58539,-1
0.93838,1.74023,1
2.62867,1.89894,1
4.59657,2.81013,1
-3.39181,-2.88533,-1
-2.13326,-1.49276,-1
-3.60963,-1.28058,-1
1.60224,2.60362,1
-1.36323,-3.94946,-1
3.73765,2.42816,1
4.54718,3.01134,1
-3.99613,-4.10483,-1
1.61240,2.79038,1
-3.26973,-2.16832,-1
3.17617,2.38851,1
-3.71969,-0.85530,-1
-2.74972,-2.89735,-1
2.16630,3.14614,1
-3.54560,-3.16791,-1
1.45583,1.50043,1
-2.49952,-3.46748,-1
-2.81079,-2.88141,-1
-0.72165,-3.34360,-1
-2.59048,-2.96420,-1
-3.87380,-3.93601,-1
-2.38080,-2.73856,-1
-2.32849,-3.19437,-1
1.53505,3.46155,1
-1.85129,-2.24630,-1
-2.19550,-1.80916,-1
-4.12624,-2.51889,-1
-2.13183,-1.13185,-1
-0.09297,1.32319,1
3.67779,2.23203,1
4.69174,3.98049,1
-3.88097,-2.53143,-1
-0.31441,-3.53972,-1
4.06795,2.72813,1
2.31960,2.53637,1
4.18597,1.67187,1
3.13499,1.59073,1
3.30917,5.03815,1
-2.86863,-3.83400,-1
-2.46511,-3.47493,-1
1.37635,1.88862,1
2.07018,3.94217,1
2.66605,3.29598,1
-2.38334,-5.23521,-1
-2.81748,-2.55961,-1
-4.18461,-2.89826,-1
-1.29219,-3.74596,-1
-0.25624,-4.36310,-1
4.15778,4.24450,1
3.91219,2.90928,1
-0.89835,-2.88199,-1
3.37681,2.55259,1
4.55281,2.80369,1
0.16436,5.03773,1
2.80423,3.88750,1
2.43681,2.23451,1
3.14441,2.84767,1
2.03512,2.80718,1
3.90430,4.15331,1
-5.04379,-1.07772,-1
-2.79445,-2.76589,-1
4.35457,4.28430,1
1.29138,2.26212,1
-2.98388,-2.70214,-1
-3.47485,-3.13072,-1
2.68823,4.02539,1
2.66799,2.27553,1
1.63450,3.36569,1
-3.83269,-2.40119,-1
-2.40193,-3.95363,-1
-3.31832,-3.36906,-1
-3.98219,-3.70690,-1
-1.41097,-3.82249,-1
3.38025,4.99639,1
2.72152,3.62467,1
3.12789,2.31187,1
-4.45123,-2.58212,-1
2.96623,3.02565,1
-5.01020,-1.44876,-1
3.75564,3.68035,1
3.76602,2.28775,1
-4.32003,-3.84318,-1
-3.60689,-0.69127,-1
-3.34521,-4.43637,-1
2.03818,4.01732,1
1.97215,2.76857,1
0.29358,2.51393,1
-3.36682,-3.21791,-1
2.62160,1.58351,1
-2.41723,-3.10552,-1
-3.92868,-3.49496,-1
-5.04090,-3.75599,-1
2.71917,2.21166,1
-2.62572,-2.45625,-1
4.45074,4.68659,1
2.72318,2.68183,1
-2.90833,-2.31933,-1
3.21810,3.51163,1
-3.22462,-2.89771,-1
1.88332,1.56831,1
2.84759,2.75342,1
2.91918,3.99386,1
2.06129,3.15639,1
4.48538,2.68635,1
-4.16959,-2.99687,-1
3.84888,1.61879,1
-4.01785,-3.59712,-1
-2.62299,-3.09980,-1
2.84396,3.27549,1
3.84878,2.04660,1
3.65394,4.12917,1
-1.48562,-3.57422,-1
1.81747,0.84684,1
-3.15999,-2.41796,-1
0.70320,2.00917,1
3.32946,3.03329,1
-5.10718,-2.24638,-1
-2.38987,-2.26239,-1
3.28002,2.89915,1
-2.31301,-3.84610,-1
-2.28116,-3.77919,-1
-4.47475,-3.51145,-1
3.21598,2.26921,1
-1.11744,-3.05632,-1
-4.45272,-4.12989,-1
4.02264,1.60251,1
-4.33495,-2.55450,-1
-2.50979,-1.07496,-1
2.38804,0.02611,1
-2.22973,-2.35699,-1
1.16360,3.56287,1
-3.26265,-4.83060,-1
-3.65519,-2.73636,-1
3.64879,2.38067,1
-4.95586,-0.96923,-1
-1.70890,-4.23028,-1
3.91702,3.73693,1
-3.64853,-1.06839,-1
2.94430,3.39601,1
-2.53960,-4.62241,-1
3.58690,4.43398,1
-2.99342,-2.81646,-1
2.30423,3.29316,1
-2.12586,-3.15239,-1
3.58579,3.98328,1
-2.54980,-2.66511,-1
4.14130,3.71819,1
-3.53434,-2.96320,-1
-3.14759,-3.39238,-1
-3.35285,-2.41110,-1
-2.75436,-3.31767,-1
-0.67603,-3.43161,-1
-4.46129,-2.26065,-1
-3.41597,-4.36333,-1
